BscStartDate,Asset,OriginalShorttext,PMType,Cost
2010-05-08,D,SHD 24 - Coolant leak L/H engine,PM01,394.29
2010-05-08,D,SHD 24 - Fuel leak      AWMA,PM01,3803.23
2010-05-14,D,SHD 24 - Coolant leak,PM01,230.1
2010-05-20,D,ROS pump leaking from barrel,PM01,0
2010-05-23,D,Leaking coolant,PM01,381.89
2010-06-08,D,Broken coolant tap,PM01,36.83
2010-06-08,D,Replace fuel line to pump,PM01,1153.09
2010-07-27,D,Reseal P1 Pump regulator,PM01,345.66
2010-08-03,D,Low coolant level - coolant leak,PM01,576.18
2010-08-08,D,shd 24 - Coolant leak L/H engine,PM01,0
2010-08-10,D,Reseal P1 Pump regulator,PM01,2287.45
2010-08-10,D,WARR RH Engine coolant leaks,PM01,554.72
2010-08-10,D,Change out  P1 pump,PM01,27915.46
2010-08-24,D,Split in fuel tank,PM01,207.35
2010-09-07,D,#4 pump cont. light on,PM01,185.57
2010-09-21,D,LH Pump Box cooler fitting leaking,PM01,0
2010-10-06,D,Coolant Leak,PM01,94.77
2010-10-19,D,RH Engine water pump leaking @ Tell tale,PM01,1065.9
2011-03-14,D,Modify Pump box cooler system,PM01,0
2011-05-02,D,"C/O P4 pump, leaking & hrs close",PM01,22621.81
2011-05-03,D,Changeout MAIN PUMP - RIGHT No 4,PM01,383.17
2011-05-18,D,Contamination in Pump # 2,PM01,0
2011-05-23,D,Fuel tank cracked LH Side,PM01,3229.74
2011-06-19,D,RHS pump gear high temp alarm SHD24,PM01,1155.48
2011-08-18,D,Replace fuel/water separator LH Engine,PM01,3128.21
2011-09-10,D,main pump leaking have been reported to,PM01,328
2006-03-19,E,WARRANTY - LH FUEL TANK SENDER FAULTY,PM01,0
2006-07-10,E,SPLIT PIPE ON LH ENG COOLANT OVERFLOW,PM01,71.48
2006-10-19,E,MAIN PUMP No3 CHIP DEFLECTOR ACTIVATED,PM01,273.05
2006-12-23,E,COOLANT LOW - NEED 2 DRUMS TEC PGXL,PM01,1312.1
2006-12-24,E,SMALL COOLANT LEAK ON LH ENGINE,PM01,0
2007-02-15,E,CHANGEOUT LH WATERPUMP- WARRANTY,PM01,0
2007-05-20,E,R/H  PUMP  BOX CONTAMINATION ALARM  ON,PM01,151.35
2007-05-31,E,RH PUMP PRESSURE LOW,PM01,293.14
2007-06-01,E,L/H ENGINE HIGH COOLANT TEMP,PM01,1076.03
2007-06-19,E,RH ENGINE COOLANT OVERFLOW HOSE MISSING,PM01,324.4
2007-08-02,E,L/H PUMP DRIVE BOX CHIP DETECTOR .,PM01,0
2007-11-21,E,RH PUMP DRIVE CONTAMINATION LIGHT ON,PM01,541.61
2007-11-21,E,CHANGEOUT NO-1 MAINPUMP- FAILED,PM01,28458.2
2007-11-23,E,COOLANT LEAK L/H ENGINE.,PM01,0
2007-12-04,E,FIT NEW FUEL FILTRATION SYSTEM,PM01,0
2008-03-14,E,CHANGE IMP PUMP,PM01,3997.6
2008-10-31,E,R/H PUMP BOX LUBE PRESSURE LOW,PM01,0
2008-10-31,E,LOW LUBE PRESSURE FAULT R/H PUMPGEARBOX,PM01,491.05
2008-11-01,E,REPLACE PUMP GEARBOX PRESSURE SENSOR,PM01,115.9
2008-11-14,E,CONTAMINATION LIGHT ON NO1 PUMP,PM01,0
2008-12-08,E,CHANGEOUT RH LUBE PUMP (PTO),PM01,0
2009-01-09,E,CHANGEOUT NO4 MAIN PUMP,PM01,3583.7
2009-02-18,E,NO4 MAIN PUMP CHIP INDICATOR LIGHT ON,PM01,0
2009-04-17,E,CODE 2262 FUEL PRESSURE COMING ON,PM01,766.3
2009-04-27,E,LEAKING SLEW PUMP CASE DRAIN HOSES,PM01,2107.79
2009-05-07,E,PUMP NOISY ON LH MODULE,PM01,793.37
2009-07-14,E,REPAIR PUMP CONTAMINATION FAULT,PM01,258.28
2009-12-13,E,R/H PUMP DRIVE CONTAMINATION LIGHT ON,PM01,0
2010-01-08,E,RH PUMP DRIVE BOX PRESSURE LOW FAULT,PM01,0
2010-02-04,E,CHANGE OUT NO3 MAIN PUMP,PM01,29665.43
2010-02-04,E,CHANGE OUT COOLING PUMPS,PM01,12178
2010-04-20,E,REPLACE OIL RESERVE PUMP RH ENGINE,PM01,4017.47
2010-05-09,E,CHANGE OUT LH SERVO PUMP,PM01,4250.14
2010-05-10,E,CHANGE OUT LH PUMP GEARBOX,PM01,33083.77
2010-08-05,E,LOW FUEL LEVEL ALARMS STAYING ON,PM01,0
2010-10-30,E,No 3 PUMP LEAKING BETWEEN SECTIONS,PM01,0
2010-10-31,E,MAIN PUMP 3 LEAKING - WARRANTY,PM01,30017.97
2010-10-31,E,L/H COOLING PUMP LEAKING,PM01,84.15
2010-11-03,E,RH PUMP GEAR BOX GETTING HOT,PM01,194.26
2010-11-16,E,CHANGE OUT MAIN PUMP NO.4. LEAKING,PM01,31842.59
2011-02-01,E,REPLACE FAULTY LH FUEL LEVEL SENDER,PM01,1039.7
2011-03-14,E,CHANGE OUT COOLANT TO CAT ELC,PM01,670.5
2011-04-25,E,Repair Fuel monitoring system,PM01,666.9
2011-06-27,E,Investigate Adverse Coolant Sample.,PM01,665.89
2011-09-19,E,Take SOS of Fuel. (IN PIT),PM01,157.8
2001-09-02,B,REPLACE PRIMARY AIR FILTERS,PM01,0
2002-03-26,B,replacement servo filters,PM01,939.36
2002-04-22,B,replace breathers,PM01,0
2002-06-11,B,CHANGE OUT R/H ENGINE OIL & FILTERS,PM01,256.1
2002-06-17,B,CHANGE OIL & FILTERS,PM01,350.15
2002-07-05,B,REPLACE OUTER AIR FILTERS,PM01,529
2002-08-13,B,REPLACE AIR FILTERS,PM01,243.44
2002-10-25,B,oil leaking from oil filter manifold.,PM01,253.19
2002-10-31,B,replace air filters,PM01,84.04
2002-11-22,B,inspect turbos change air filters,PM01,174.32
2002-11-27,B,Repair oil leak at full flow filter,PM01,338.09
2002-12-18,B,FITTING LEAKING R/H ENG OIL FILTER HEAD,PM01,1566.02
2003-01-07,B,replace air filters,PM01,746.03
2003-01-25,B,replace intake filters,PM01,134.65
2003-01-26,B,replace intake filters,PM01,134.65
2003-02-12,B,L/H ENGINE OIL FILTER HEAD LEAK SEE TEXT,PM01,167.2
2003-05-04,B,CHANGE OUT AIR FILTERS,PM01,190.78
2003-05-18,B,change outer filters,PM01,0
2003-05-18,B,change outer filters,PM01,111.99
2003-05-21,B,p1/p2 hp filter bung leaking,PM01,63.79
2003-05-22,B,Replace inner and outer air filters,PM01,206.78
2003-05-28,B,reseal p2 discharge hose at hp filter,PM01,372.36
2003-06-14,B,replace filters,PM01,195.11
2003-06-16,B,replace air filters,PM01,192
2003-07-12,B,replace air filters,PM01,80.36
2003-07-16,B,engine oil & filters to be changed,PM01,87.49
2003-09-10,B,Replace engine air filters  COMPLETED,PM01,123.74
2003-10-03,B,Change both engine oil filters,PM01,55.29
2004-03-14,B,REPLACE OUTER AIR FILTERS.,PM01,153
2004-04-21,B,Replace inner and outer air filters.,PM01,348.88
2004-06-26,B,replacement filters,PM01,1237.89
2004-02-06,C,RESEAL T-PIECE AND ELBOW  HP FILTER HEAD,PM01,46.31
2006-01-25,C,FILTER INDICATOR ALARM COMING ON,PM01,2255.1
2006-02-21,C,REPLACE HYDRAULIC FILTER MAGNET-BROKEN,PM01,110.69
2007-02-25,C,replace leaking fittings on hp filter.,PM01,449.56
2007-04-05,C,LH ENGINE CENTRIFUGAL FILTER BASE FAULTY,PM01,361.65
2007-09-10,C,MAIN PUMP 1 HP FILTER LEAKING FROM PLUG,PM01,0
2007-10-15,C,FIT WATER SEPERATOR FILTERS TO SHD23,PM01,54.9
2007-11-19,C,PRESSURISER FILTERS REQUIRE CHANGING,PM01,0
2007-12-14,C,HYD COOLER FILTER BYPASS SCREEN MISSING,PM01,0
2009-08-31,C,RESEAL PILOT FILTER BESIDE CAB.,PM01,156.92
2009-08-31,C,REPAIR OIL LEAK AROUND HP FILTERS.,PM01,0
2009-10-30,C,RH ENGINE CENTRIFUGAL FILTER LEAKING,PM01,253.02
2010-02-10,C,REPLACE BLOWN HOSE ON HP FILTERS.,PM01,284.53
2010-09-28,C,RH ENGINE CENTIFUGE FILTER LEAKING,PM01,178.8
2011-08-17,C,REPLACE U/S H.P FILTER HOUSINGS. PLEASE,PM01,0
2011-10-17,C,Oil leaks HP Filters,PM01,501.37
2011-10-17,C,REPLACE DRAIN BUNGS ON H/P FILTERS. PLEA,PM01,0
2011-10-17,C,REPLACE U/S H.P FILTER HOUSINGS,PM01,1952.88
2003-08-26,D,Replace primary air filters  completed,PM01,271.47
2004-03-21,D,Change engine oil and filters,PM02,927.25
2004-03-31,D,replace single hex bolts on slew filters,PM01,134.58
2005-01-11,D,repair oil leaks hp filter block,PM01,258.66
2005-01-23,D,Replace hose between P2 and H/P filter,PM01,1872.67
2005-03-14,D,Centrifugal Filter Clamp Broken.,PM01,1514.9
2005-04-09,D,Centrifugal Filter Clamp Broken,PM01,0
2005-04-27,D,centrifugal filter clamp,PM01,150.96
2005-05-09,D,Change high pressure filter hose.,PM01,296.97
2005-08-07,D,REPLACE HOSE(P3 PUMP TO FILTER HOUSING.),PM01,2634.78
2005-08-09,D,Oil leak centrifugal filter mounting .pa,PM01,13.16
2006-02-07,D,Leaking test fitteing at HP filter,PM01,291.25
2006-04-06,D,R/H engine filter head leaking,PM01,29.61
2006-04-29,D,Filter Screen leaking on system,PM01,0
2006-08-28,D,Replace hyd tank breather,PM01,124.82
2006-09-28,D,High pressure filter block leaking,PM01,918.48
2007-01-01,D,Re-seal HP filter housing,PM01,0
2007-01-11,D,Service centrafugal filters,PM01,17.9
2007-02-08,D,Reseal lodgic block front HP filter,PM01,712.25
2007-03-21,D,FAb & fit extended breathers to f/d,PM01,751.6
2007-03-22,D,Replace air filter dust evacuation hoses,PM01,0
2007-04-30,D,blown hydraulic hose on return filters,PM01,366.32
2007-05-10,D,R/H Eng oil filter housing leaking,PM01,0
2007-07-20,D,Replaced venturi hose,PM01,531.57
2007-08-28,D,Slew filter housing cracked,PM01,4312.95
2007-12-23,D,coolant leak l/h engine  thermo.housing,PM01,663.09
2007-12-30,D,Slew filter cracked,PM01,6565.51
2008-01-03,D,R/h centrifugal filter u/s,PM01,404.98
2008-01-03,D,Oil leak--(oil filter?),PM01,161.56
2008-01-12,D,Replaced cracked hyd HP filter on SHD24,PM01,4712.77
2008-01-29,D,Comtination swing filter #3,PM01,288.3
2008-02-01,D,Replace o-ring on filter housing,PM01,1419.88
2008-02-04,D,repair cracked centrifugal filter,PM01,680.36
2008-02-14,D,Replace air cleaner bolts and wing nuts,PM01,85.72
2008-03-13,D,Repair worn centrifuge filter,PM01,256.8
2008-04-24,D,Oil leak on oil filter housing SHD24,PM01,2748.84
2008-06-03,D,L/h centrifugal filter leaking,PM01,789.32
2008-07-01,D,centrifugal filter leak,PM01,0
2008-07-01,D,filter housing mount bolts broken,PM01,0
2008-08-03,D,Replace water seperator filters,PM01,1913.25
2008-08-12,D,Hyd filter fallin off bracket,PM01,0
2008-08-28,D,breathers need replacing,PM01,41.28
2008-09-25,D,RH engine breathers need replacing,PM01,41.28
2008-09-25,D,Oil leak RH Centrifugal filter,PM01,0
2008-09-25,D,PIRTEK  Hose from DZ to HP Filters,PM01,979.52
2008-10-09,D,Reposition inner final drive breathers,PM01,0
2008-10-30,D,reseal hp filter blocks,PM01,1953.81
2008-11-14,D,slew filter fitting leak,PM01,0
2009-03-13,D,Replace pilot line to HP filters,PM01,0
2009-04-09,D,Extend inside final drive breathers,PM01,0
2009-04-09,D,Replace damaged pressurising  vent,PM01,66.91
2009-05-05,D,Left Eng fan pump mounting bolt stripped,PM01,386.26
2009-07-09,D,Repair leaking hyd filter cap SHD24,PM01,0
2009-08-11,D,Fit up Filter System for oil reserve,PM01,245.96
2009-08-11,D,Oil leak above P3 Filter,PM01,72.54
2009-08-12,D,Oil leaking from HP Filter,PM01,0
2009-09-08,D,P4 Replace HP Filter and bowl,PM01,3202.43
2009-10-05,D,Replace front floor vents,PM01,258.66
2009-10-27,D,Oil leak from rear swing HP filter,PM01,5319.38
2009-10-27,D,Front A/C return air filter missing,PM01,836
2009-11-02,D,#1 hydraulic filter contamination,PM01,0
2009-11-23,D,oil leak at lh centrifcal engine filter,PM01,331.95
2009-11-23,D,Change Oil Filters both engines,PM01,0
2009-11-24,D,L & R Engine fan pump mounting O Rings,PM01,0
2010-01-19,D,Replace RH Engine long life filters,PM01,96.14
2010-02-16,D,Oil leak Rear HP Filter head,PM01,0
2010-03-09,D,Reseal LH Pump drive breathers fittings,PM01,0
2010-04-13,D,RH Eng centrifugal filter leaking @ base,PM01,0
2010-04-13,D,ACC DAMAGE RH Final drive breathers,PM06,0
2010-06-30,D,oil leak on filter,PM01,1729.36
2010-08-10,D,Reseal both engine breathers,PM01,1076.23
2010-08-10,D,Replace filter restriction hose,PM01,0
2010-08-24,D,Replace HP Filter heads,PM01,17036.5
2010-08-31,D,Replace hydraulic filter housing,PM01,17416.18
2010-09-21,D,Replace filter restriction hose,PM01,0
2010-10-19,D,Replace HP Filter heads,PM01,17.6
2010-10-19,D,Replace filter restriction hose,PM01,0
2010-11-16,D,Replace HP Filter heads,PM01,988.78
2010-11-16,D,Cut open engine oil filters,PM01,96.14
2011-01-11,D,Replace HP Filter heads,PM01,2025.6
2011-02-15,D,Remount servo filter to grease system,PM01,1084.08
2011-03-24,D,Replace air filters outers,PM01,576.01
2011-04-05,D,Replace centrifuge mounting base RH Eng,PM01,0
2011-04-05,D,Reseal LH Engine Oil filter manifold,PM01,369.6
2011-05-23,D,Replace centrifuge filter on RH engine,PM01,2027.74
2011-06-27,D,C/O Mount bolts on Slew charge filters,PM01,770.32
2011-08-18,D,remove breathers from LH and RH pump box,PM01,0
2011-08-31,D,RH eng.oil spinner filter pipe cracked,PM01,0
2011-09-19,D,Changeout Servi filters,PM01,846.32
2006-03-09,E,Fit 4 vent doors to sides of eng module,PM01,0
2006-04-07,E,RF-FIT CAPS TO AIR VENTS IN CASCADE ROOM,PM01,572.17
2006-09-12,E,BROKEN BOLTS ON SLEW FILTER,PM01,1711.34
2006-09-19,E,REPLACE AIR FILTERS,PM01,358.18
2006-09-28,E,OIL LEAK @ RH ENGINE CENTRIFUGAL FILTER,PM01,225.41
2006-10-04,E,OIL LEAK @ P1 HP FILTER PRESSURE SENDER,PM01,79.03
2006-12-03,E,R/H ENGINE AIR FILTERS BLOCKED,PM01,429.18
2006-12-08,E,BLOCKED AIR FILTERS,PM01,1230.16
2006-12-23,E,REPLACE AIR FILTERS IN BOTH ENGINES,PM01,788.57
2007-02-15,E,LH CENTRIFUGAL FILTER LEAKING-WARRANTY,PM01,0
2007-04-03,E,REPLACE BROKEN BOLTS ON SLEW FILTER,PM01,170.19
2007-05-11,E,replace 4 air filters,PM01,437.47
2007-07-30,E,REPLACE CENTRIFUGE FILTER ON L/H ENGINE,PM01,5945.17
2007-07-30,E,REPLACE CENTRIFUGE FILTER ON R/H ENGINE,PM01,1520.07
2007-08-04,E,REPAIR OIL LEAK AT XOVER FILTERS(SLEW),PM01,146.13
2007-08-11,E,R/H ENG OIL FILTER ASSY LEAKING AT BLOCK,PM01,94.63
2007-08-20,E,REPLACE AIR FILTERS.,PM01,450.51
2007-09-08,E,CHANGEOUT AIR FILTERS   @R40,PM01,437.3
2007-10-05,E,REPLACE AIR FILTERS.,PM01,523.98
2007-12-01,E,REPLACE ALL AIR FILTERS,PM01,451.6
2008-01-04,E,REPLACE CABLES ON HP FILTERS,PM01,410.5
2008-03-27,E,Replace LH Water/Sediment filter.,PM01,69
2008-11-02,E,REPLACE BLOCKED AIR FILTERS,PM01,286.12
2008-12-05,E,SLEW CROSS OVER FILTER - LEAKING,PM01,669.94
2008-12-30,E,REPLACE SLEW BOX BREATHERS,PM01,254.28
2009-07-16,E,"REPLACE ''X'' OVER FILTER HOUSING , SLEW",PM01,7611.98
2009-07-20,E,OIL LEAK UNDER SLEW  FILTERS,PM01,774.84
2009-08-02,E,OIL LEAK AT ENG OIL FILTERS.,PM01,385.08
2010-04-29,E,fit chains to vent doors & check hinges,PM01,550.38
2010-05-19,E,REPAIR OIL LEAKS AT P1 / SERVO FILTER,PM01,0
2010-05-19,E,REPAIR OIL LEAKS AT P1/ 35 BAR FILTER,PM01,17181.15
2011-04-15,E,RH engine leaking oil behind filters,PM01,0
2011-04-20,E,REPLACE AIR FILTERS,PM01,585.05
2011-06-06,E,repair hydraulic leak at slew filter,PM01,1725.36
2011-06-24,E,REPAIR OIL LEAKS H/P  FILTER BLOCK,PM01,537.19
2011-07-18,E,Replace Engine Oil and Filters,PM01,28.1
2011-07-20,E,REPLACE HIGH PRESSURE FILTER,PM01,1175.53
2001-12-30,B,Repair muffler,PM01,716.74
2002-01-07,B,Repair exhaust,PM01,153.27
2002-02-10,B,Replace both mufflers,PM01,6773.6
2002-06-24,B,BROKEN STUDS ON EXHAUST MANIFOLD,PM01,716.27
2002-07-13,B,CHANGEOUT AIRCLEANERS,PM01,256.57
2002-09-11,B,L/H MUFFLER CLAMP U/S SEE TEXT,PM01,0
2002-10-26,B,replace air cleaners,PM01,463.82
2002-12-01,B,replaced air cleaners,PM01,174.32
2002-12-04,B,CRACKED AIR CLEANER,PM01,387.63
2002-12-20,B,REPAIR CRACKED ROOF SKIN LHS EXHAUST,PM01,1105.61
2002-12-31,B,broken exhaust clamp ( see history ),PM01,208.17
2003-01-20,B,replace air cleaners,PM01,134.65
2003-01-20,B,R/H MUFFLER CRACKED,PM01,277.55
2003-02-03,B,L/H MUFFLER MOUNTING CLAMP BROKEN text,PM01,251.73
2003-03-28,B,fit aircleaners,PM01,171.09
2003-04-21,B,ehaust pipe fell off,PM01,0
2003-05-31,B,exhaust leak.,PM01,51
2003-08-22,B,Replace exhaust pipe>turbo V clamp,PM01,104.15
2003-09-01,B,Replace 2 air cleaners,PM01,104.5
2003-09-23,B,low power   completed,PM01,91.81
2004-03-17,B,R/H engine exhaust manifold broken,PM01,625.63
2004-04-10,B,LH turbo loose exhaust clamp,PM01,788.82
2005-01-06,C,REPLACE LEAKING EXHAUST MANIFOLD GSKT,PM01,332.22
2006-01-13,C,REWELD EXHAUST STACK TO MUFFLER,PM01,941.09
2006-09-26,C,R/H ENG - BROKEN EXHAUST MANIFOLD BOLTS,PM01,2397.93
2006-11-12,C,EXHAUST LEAK - BROKEN MANIFOLD BOLTS,PM01,2032.88
2007-04-02,C,EXHAUST LEAK/ MUFFLER LOOSE,PM01,462.13
2007-04-17,C,EXHAUST FLEX TUBING BROKEN ON L/H ENGINE,PM01,1181.14
2007-05-07,C,REPLACE EXHAUST FLEX,PM01,375.23
2007-08-06,C,REPLACE EXHAUST GASKET @ LH NO-6,PM01,280.8
2008-04-10,C,REPLACE EXHAUST CLAMP,PM01,166.27
2008-08-20,C,REPLACE INTAKE MANIFOLD,PM01,5234.99
2009-12-14,C,RH ENGINE EXHAUST MANIFOLD GASKETS U/S,PM01,4156.03
2010-04-07,C,L/H EXHAUST PIPING LEAKING TO EXHAUST,PM01,1186.05
2010-09-28,C,MAIN PUMP 3 SUCTION HOSE LEAKING,PM01,5524.94
2011-01-24,C,EXHAUST HAS FALLEN OFF TURBO,PM01,2709.53
2011-05-28,C,REPAIR EXHAUST LEAK,PM01,1454.57
2011-09-18,C,REPAIR R/H EXHAUST SYSTEM.,PM01,0
2011-09-19,C,RH Engine Exhaust Leak,PM01,710.64
2011-10-17,C,REPLACE  SUCTION HOSE ON HEADER TANKS. P,PM01,0
2004-07-01,D,remove and repair r/h engine exhaust,PM01,342.03
2005-01-12,D,replace rh eng exhaust deflector,PM01,0
2005-04-28,D,repair to l/h exhaust     need to order,PM01,208
2005-04-28,D,Make up and supply exhaust deflectors,PM01,485
2006-03-13,D,Exhaust broken off,PM01,0
2007-02-14,D,Engine exhaust deflector broken SHD24,PM01,504.43
2007-03-28,D,Exhaust manifold leak on SHD24,PM01,184.72
2007-04-02,D,Replace exhaust manifold bolts,PM01,252.68
2007-05-16,D,Replace exhaust clamps,PM01,140.17
2007-08-18,D,exhaust leak near turbo elbow,PM01,463.45
2008-04-10,D,L/H engine exhaust leaks,PM01,195.46
2008-04-24,D,Turbo & Exhaust covers required,PM01,6380.04
2008-06-03,D,L/H exhaust leaking again,PM01,188.39
2008-06-27,D,Replace rubber hose exhaust to air box,PM01,0
2008-07-01,D,RH exhaust pipe cracked,PM01,0
2008-07-01,D,exhaust leak,PM01,0
2008-11-20,D,suction hose leak,PM01,32.66
2009-05-05,D,Eng exhaust leaks on both engines,PM01,0
2009-06-16,D,Left engine exhaust leaks,PM01,0
2009-08-11,D,Left engine exhaust leaks,PM01,1724.77
2010-01-19,D,Modify LH Exhaust pipe,PM01,0
2010-08-24,D,Repair cracks in Both engine Mufflers,PM01,836.92
2011-06-27,D,Replace LH Engine Exhaust blankets,PM01,1789.5
2001-09-05,B,REPLACE TURBO PRE CLEANER FAN,PM01,0
2001-11-19,B,replace l/h engine turbo,PM01,720.85
2001-12-02,B,Replace turbo drain line LH engine,PM01,235.69
2002-03-27,B,replace turbo,PM01,0
2002-09-23,B,REPLACE RH TURBO,PM01,2543.82
2002-09-28,B,REPLACE LH TURBO,PM01,387.87
2002-10-03,B,Cost to Repair M/No:60176380 Turbo.,PM13,1908.87
2002-11-04,B,RESEAL LH TURBO DRAIN LINE,PM01,10.7
2003-01-12,B,REPLACE TURBO OUTLET HOSE,PM01,428.2
2003-01-18,B,replace turbo blankets,PM01,1338.78
2003-03-09,B,replace turbo l/h engine,PM01,496.05
2003-07-02,B,Operator suspects blown Turbo.,PM01,480.71
2004-02-26,B,r/h turbocharger u/s,PM01,1250.76
2005-09-18,C,CHANGEOUT ~ RIGHT HAND TURBOCHARGER,PM02,2702.3
2005-09-28,C,CHANGEOUT ~ LEFT HAND TURBOCHARGER,PM02,2405.37
2005-10-01,C,REPAIR LOOSE TURBO L/H ENG,PM01,544.99
2005-11-22,C,CHANGE OUT L/H TURBO  WARRANTY,PM01,2968.9
2007-08-30,C,CHANGEOUT RH TURBO- FAILED,PM01,3652.41
2007-09-10,C,C/OUT RIGHT TURBOCHARGER SEE WO 26182337,PM02,0
2009-09-02,C,CHANGEOUT ~ LEFT TURBOCHARGER,PM02,0
2004-12-16,D,Blown turbo RH engine,PM01,3063.67
2005-01-20,D,Replace LH turbo,PM01,2212.87
2005-12-05,D,REPACE TURBOCHARGER,PM01,3235.24
2006-04-07,D,Replace turbocharger,PM01,4838.74
2006-05-09,D,oil leak at turbo lhs engine,PM01,309.65
2006-07-24,D,Fit L/H turbo cover,PM01,575
2006-09-12,D,Replace R/H turbo,PM01,3385.54
2007-08-18,D,exhaust leak near turbo elbow,PM01,463.45
2008-04-24,D,Turbo & Exhaust covers required,PM01,6380.04
2010-12-14,D,Replace RH Turbo drain hose,PM01,0
2011-01-11,D,Replace RH Turbo drain hose,PM01,274.77
2011-06-27,D,C/O LH eng intake & turbo drain hoses,PM01,1086.98
2007-03-21,E,L/H ENGINE TURBO  CHARGE LINE  U/S.,PM01,3192.93
2007-05-21,E,LH ENGINE TURBO HOSE BLOWN,PM01,624.66
2007-08-06,E,BLOWN TURBO HOSE L/H ENGINE.,PM01,943.63
2007-08-16,E,BLOWN TURBO HOSE L/H ENGINE,PM01,310.52
2009-05-06,E,LH ENGINE TURBO HOSE BLOWN,PM01,240.22
2010-04-09,E,RH ENGINE TURBO OUTLET HOSE U/S,PM01,1787.43
2010-04-22,E,RH ENG TURBO FAILURE,PM01,36021.96
2010-07-12,E,CHECK R/H TURBO FAILURE/HOSES,PM01,6459.46
2005-02-19,A,BLOWN HYD HOSE.,PM01,0
2005-02-20,A,REPAIR HYD OIL LEAK,PM01,272.45
2005-02-22,A,OIL LEAK,PM01,1399.66
2005-03-05,A,HYDRAULIC OIL LEAK,PM01,195.55
2005-11-29,A,BLOWN HYDRAULIC HOSE,PM01,287.84
2005-11-30,A,REPLACE BLOWN HYDRAULIC HOSE,PM01,265.7
2005-12-13,A,REPLACE BLOWN HYDRAULIC HOSE,PM01,0
2006-01-18,A,OIL LEAK,PM01,0
2006-02-13,A,REPAIR HYD OIL LEAK,PM01,0
2006-10-03,A,SWING MOTOR HOSE                    done,PM01,448.09
2006-10-04,A,BLOWN HYD. HOSE,PM01,0
2006-11-10,A,REPLACE STICK HOSE,PM01,2622.93
2007-01-06,A,REPAIR HYDRAULIC LEAK,PM01,757
2007-01-15,A,HYDRAULIC OIL LEAK,PM01,1404.2
2007-02-20,A,HYDRAULIC OIL LEAK,PM01,840.25
2007-08-24,A,HYD HOSE LEAKING ON STICK,PM01,0
2007-09-24,A,HYDRAULIC HOSE LEAKING,PM01,347.46
2007-11-18,A,REPAIR OIL LEAK,PM01,0
2008-04-01,A,REPAIR HYDRAULIC OIL LEAK,PM01,1623.6
2008-04-24,A,OIL LEAK UNDER CAB,PM01,201.39
2008-05-21,A,REPAIR HYDRAULIC OIL LEAK,PM01,0
2008-05-22,A,HYDRAULIC HOSE LEAKING - SLEW,PM01,659.93
2008-09-16,A,HYDRAULIC LEAK,PM01,0
2008-09-18,A,HYDRAULIC LEAK,PM01,0
2008-11-26,A,REPAIR OIL LEAK,PM01,204.54
2008-12-02,A,REPAIR HYDRAULIC OIL LEAK,PM01,345.55
2008-12-03,A,REPAIR HYDRAULIC OIL LEAK,PM01,172.78
2001-08-29,B,REPAIR HYD LEAKS ON TRACK TENSIONERS,PM01,0
2001-09-01,B,OIL LEAK L/H TRACK TENSIONER.,PM01,0
2001-09-04,B,BAD SOS METAL IN OIL,PM01,0
2001-10-12,B,REPAIR OIL LEAK RHS SLEW PUM,PM01,502.6
2001-10-15,B,oil leak lhs track adjuster,PM01,804.16
2001-10-22,B,REPAIR OIL LEAK,PM01,472.35
2001-10-24,B,rhs stick cylinder pin out hoses busted,PM01,821.71
2001-10-31,B,REPLACE SLEW MOTOR CROSSOVER HOSE,PM01,158.92
2001-11-02,B,OIL LEAK FROM AROUND CYL ROD,PM01,9739.28
2001-11-12,B,repair oil leak p3 govenor valve,PM01,540.64
2001-11-16,B,Oil leak on P3 pressure cut-off valve,PM01,451.47
2001-11-16,B,Oil leak at primary relief valve block,PM01,11
2001-11-21,B,oil leak on track adjuster,PM01,720.85
2001-11-22,B,Replace RH slew gearbox,PM01,51780.38
2001-11-22,B,Change RH slew motor,PM01,11917.1
2001-12-13,B,OIL LEAK SEE  HISTORY,PM01,207.19
2002-01-14,B,LEAKING CLAM HOSE R/HAND SIDE.,PM01,286.7
2002-01-15,B,OIL LEAK ON BUCKET....,PM01,0
2002-01-15,B,OIL LEAK ON BUCKET.....,PM01,0
2002-01-15,B,"?OIL LEAK ON BUCKET...FOUND TWO BLOWN \O""",PM01,143.35
2002-01-22,B,Replaced blown header tank hose,PM01,286.7
2002-01-23,B,REPAIR OIL LEAK AROUND REAR COOLER,PM01,5933.86
2002-02-10,B,HYDRAULIC TUNE UP & TEST,PM01,4113.59
2002-02-10,B,INSPECT & REPLACE HOSES AS NEEDED,PM01,1331.73
2002-02-19,B,REPLACE TRAVEL VALVE HOSE,PM01,346.47
2002-03-18,B,replaced fan on rear oil cooler,PM01,2575.73
2002-03-18,B,No Slew,PM01,1258.98
2002-04-02,B,replace hydraulic blown hose,PM01,563.33
2002-04-04,B,REPLACE L/H SLEW TEMP SENDER,PM01,570.85
2002-05-05,B,changed steel pipe [common return ]with,PM01,0
2002-05-09,B,replace hyd hose part #1725206,PM01,598.51
2002-05-12,B,REPLACE P3 DISCHARGE HOSE,PM01,120
2002-05-31,B,repair hydraulic oil leak.,PM01,1563.68
2002-05-31,B,hydraulic hose leak.,PM01,573.02
2002-06-11,B,leaking pipe fitting,PM01,118.42
